elem,x,y,z,q
C,-2.72755,4.6e-05,-0.070955,0.089076
C,2.716173,-3.6e-05,-0.086739,0.086986
C,1.394574,2.360134,-0.085733,-0.044562
C,-1.405666,2.360187,-0.078026,-0.022257
C,1.394493,-2.360179,-0.085832,-0.044557
C,-1.405739,-2.360118,-0.077808,-0.02225
C,-5.419391,9e-05,-0.061694,0.217423
C,5.407773,-0.000104,-0.093079,0.248046
C,2.778635,4.574625,-0.093645,-0.22681
C,2.77845,-4.574707,-0.094079,-0.226796
C,-2.789293,4.574992,-0.078467,-0.247649
C,-2.789423,-4.574897,-0.077753,-0.247664
C,-6.747767,-2.328311,-0.05794,-0.3486
C,-6.747704,2.328517,-0.058347,-0.348593
C,6.736388,-2.328032,-0.09973,-0.36127
C,6.736479,2.327787,-0.099509,-0.361267
C,5.441055,4.567085,-0.101567,-0.129147
C,5.44087,-4.567298,-0.102045,-0.129152
C,-5.451752,4.56752,-0.06816,-0.113659
C,-5.451886,-4.567333,-0.067349,-0.113646
H,1.836184,6.394587,-0.094269,0.109708
H,1.83592,-6.394637,-0.09494,0.109708
H,-1.846342,6.394741,-0.086931,0.110151
H,-1.846515,-6.394661,-0.085912,0.110153
H,-8.802301,-2.297253,-0.050714,0.123679
H,-8.802227,2.297518,-0.051132,0.123681
H,8.790699,-2.296135,-0.104805,0.12736
H,8.790793,2.295791,-0.104598,0.127358
H,6.446217,6.357043,-0.110392,0.103763
H,6.445941,-6.357289,-0.111094,0.103764
H,-6.45641,6.357859,-0.067518,0.098513
H,-6.456576,-6.357661,-0.066336,0.098509
